Event Type,Duration (hrs),Photographers,Location,Editing Level,Additional Services,Photographer Rating,Cost
Engagement,6,1,Suburban,Basic,Photo Album,4.6,2530.0
Fashion Show,11,5,Suburban,Premium,Photo Album,4.2,5010.0
Fashion Show,8,4,Beach,Basic,None,4.2,4310.0
Fashion Show,10,3,City,Basic,None,3.6,4280.0
Birthday,6,1,Beach,Basic,Instant Prints,4.4,1870.0
Sports,9,5,City,Basic,None,4.1,3905.0
Sports,9,5,Mountain,Basic,None,4.1,3905.0
Fashion Show,9,3,Suburban,Basic,Drone,5.0,4550.0
Wedding,8,2,Rural,Advanced,Instant Prints,4.9,3095.0
Birthday,5,1,Mountain,Premium,Live Streaming,3.8,2090.0
Corporate,12,5,Mountain,Basic,Instant Prints,4.0,3550.0
Anniversary,12,1,Suburban,Standard,Instant Prints,4.4,2970.0
Sports,9,3,City,Premium,Drone,4.3,3815.0
Fashion Show,12,5,City,Basic,Instant Prints,4.0,5050.0
Corporate,11,4,Suburban,Basic,Live Streaming,4.2,3610.0
Corporate,7,5,Mountain,Basic,Photo Album,4.9,3145.0
Engagement,11,2,Suburban,Standard,Live Streaming,4.0,3500.0
Corporate,2,5,City,Basic,None,4.2,2410.0
Fashion Show,3,3,City,Advanced,Live Streaming,4.9,4145.0
Wedding,6,5,Beach,Advanced,Live Streaming,4.0,3800.0
Birthday,5,3,Beach,Standard,Drone,4.2,2310.0
Fashion Show,5,4,Suburban,Premium,Drone,3.7,4285.0
Concert,6,5,Rural,Standard,Instant Prints,4.5,3975.0
Wedding,2,4,Rural,Basic,Drone,4.5,3025.0
Anniversary,9,5,Suburban,Basic,Live Streaming,3.6,3780.0
Corporate,6,1,Beach,Standard,Live Streaming,4.2,2510.0
Corporate,5,3,Rural,Advanced,Live Streaming,4.1,2805.0
Birthday,9,2,City,Advanced,Photo Album,4.3,2415.0
Concert,11,1,City,Advanced,None,4.4,3520.0
Anniversary,2,3,Mountain,Standard,Photo Album,4.6,2430.0
Birthday,7,1,Rural,Standard,Instant Prints,4.7,1985.0
Engagement,11,3,Mountain,Standard,Live Streaming,4.0,3700.0
Concert,6,4,Mountain,Premium,Drone,4.5,3925.0
Anniversary,10,1,Mountain,Basic,Instant Prints,4.4,2770.0
Sports,5,4,Mountain,Premium,Instant Prints,4.9,3495.0
Birthday,3,3,Suburban,Basic,Instant Prints,4.0,1950.0
Corporate,10,5,Mountain,Premium,Live Streaming,4.4,3720.0
Anniversary,8,5,Mountain,Advanced,Instant Prints,4.3,3365.0
Birthday,12,5,City,Standard,Instant Prints,4.9,3295.0
Concert,9,3,Beach,Standard,Photo Album,4.9,3945.0
Sports,2,2,Mountain,Premium,Live Streaming,3.8,3090.0
Concert,10,5,Mountain,Basic,Instant Prints,3.9,4345.0
Corporate,4,3,Beach,Standard,Instant Prints,5.0,2400.0
Corporate,8,4,Rural,Standard,Drone,5.0,3150.0
Corporate,4,1,Rural,Basic,None,3.7,1785.0
Concert,6,4,Rural,Standard,Live Streaming,4.9,4145.0
Sports,6,4,City,Premium,Photo Album,4.3,3615.0
Wedding,4,3,Mountain,Standard,None,4.6,2730.0
Corporate,7,1,City,Premium,Drone,3.6,2380.0
Birthday,12,2,City,Basic,Instant Prints,3.7,2635.0
Engagement,11,5,Mountain,Standard,Drone,4.6,3930.0
Birthday,6,5,Beach,Premium,Drone,4.8,2840.0
Corporate,7,4,Beach,Standard,Drone,4.6,3030.0
Wedding,7,2,Beach,Advanced,Instant Prints,4.4,2970.0
Corporate,8,4,Beach,Standard,Drone,3.6,3080.0
Birthday,3,1,Beach,Advanced,Drone,3.6,1680.0
Corporate,12,1,Mountain,Standard,Drone,4.1,2905.0
Fashion Show,8,4,City,Premium,Photo Album,4.5,4525.0
Wedding,12,3,Suburban,Advanced,None,3.9,3495.0
Birthday,2,5,Rural,Advanced,Instant Prints,4.6,2280.0
Wedding,4,3,Mountain,Advanced,Instant Prints,4.5,2875.0
Engagement,6,2,Suburban,Basic,Instant Prints,4.6,2680.0
Anniversary,3,4,Beach,Standard,Live Streaming,3.5,2975.0
Anniversary,10,1,Mountain,Advanced,Drone,4.9,2945.0
Fashion Show,5,3,City,Advanced,Drone,3.9,4095.0
Fashion Show,12,4,Rural,Standard,None,4.3,4715.0
Engagement,7,3,City,Premium,Drone,4.7,3135.0
Sports,7,2,City,Premium,Drone,4.0,3400.0
Corporate,6,4,Rural,Basic,None,4.9,2645.0
Fashion Show,8,2,City,Advanced,Drone,4.9,4245.0
Concert,12,5,Mountain,Standard,None,3.8,4390.0
Sports,11,2,City,Basic,Drone,4.1,3805.0
Sports,8,3,Rural,Advanced,None,5.0,3450.0
Corporate,9,4,Mountain,Standard,None,4.8,2940.0
Wedding,12,4,Suburban,Premium,Drone,4.0,4000.0
Wedding,9,5,City,Basic,Live Streaming,3.7,4085.0
Sports,9,3,Rural,Standard,Live Streaming,3.9,3995.0
Wedding,5,5,Rural,Basic,Live Streaming,4.3,3715.0
Corporate,3,3,Suburban,Premium,Instant Prints,4.6,2280.0
Anniversary,11,4,City,Advanced,None,4.5,3325.0
Concert,5,4,Beach,Basic,Instant Prints,4.3,3665.0
Sports,7,5,Beach,Standard,None,3.6,3680.0
Concert,7,2,Beach,Advanced,Instant Prints,3.7,3435.0
Wedding,8,4,Beach,Standard,Drone,4.6,3630.0
Engagement,7,3,Beach,Standard,Drone,4.0,3100.0
Birthday,9,3,City,Basic,Drone,4.9,2745.0
Concert,3,1,Mountain,Premium,Photo Album,3.6,2880.0
Engagement,5,5,Rural,Premium,None,3.9,2995.0
Concert,5,2,Suburban,Standard,Instant Prints,4.0,3250.0
Anniversary,3,5,Beach,Basic,Photo Album,4.6,2930.0
Fashion Show,6,2,Mountain,Premium,Drone,4.8,4040.0
Birthday,5,3,Beach,Basic,None,4.7,2035.0
Engagement,9,1,City,Basic,Live Streaming,3.9,3095.0
Anniversary,5,3,Rural,Standard,Photo Album,4.1,2705.0
Engagement,3,5,Beach,Basic,Live Streaming,4.2,3310.0
Engagement,7,1,Beach,Basic,Drone,4.1,2705.0
Wedding,11,4,City,Standard,Photo Album,4.3,3815.0
Concert,2,1,Mountain,Basic,Photo Album,4.1,2805.0
Anniversary,5,3,City,Standard,Live Streaming,3.8,2990.0
Concert,2,1,Rural,Basic,Drone,4.5,2925.0
Corporate,8,4,Mountain,Premium,Live Streaming,3.7,3285.0
Anniversary,11,4,Rural,Basic,Photo Album,4.8,3540.0
Corporate,7,2,Mountain,Premium,Photo Album,4.3,2515.0
Birthday,2,3,Mountain,Basic,Drone,4.5,2025.0
Wedding,5,2,Rural,Premium,Live Streaming,3.9,3095.0
Concert,3,2,Rural,Advanced,Live Streaming,3.9,3395.0
Birthday,10,4,City,Premium,None,4.4,2720.0
Concert,6,5,City,Premium,Drone,4.5,4125.0
Concert,7,1,Beach,Basic,None,4.0,3100.0
Fashion Show,3,1,Rural,Premium,Drone,4.6,3530.0
Anniversary,3,1,City,Standard,Live Streaming,3.9,2395.0
Fashion Show,11,2,Suburban,Premium,Drone,4.5,4525.0
Sports,6,4,Mountain,Premium,Drone,3.9,3695.0
Birthday,4,5,Mountain,Premium,Live Streaming,4.8,2840.0
Birthday,5,1,City,Advanced,None,4.2,1610.0
Concert,5,2,City,Basic,Photo Album,4.3,3315.0
Engagement,11,5,Suburban,Basic,Photo Album,4.6,3830.0
Fashion Show,5,5,City,Basic,Instant Prints,4.2,4360.0
Corporate,11,5,Mountain,Basic,Instant Prints,4.7,3485.0
Engagement,6,2,City,Basic,Instant Prints,3.9,2645.0
Anniversary,6,1,Beach,Basic,Instant Prints,4.9,2395.0
Birthday,10,3,Mountain,Standard,Photo Album,3.8,2690.0
Fashion Show,2,1,City,Premium,Instant Prints,4.8,3290.0
Wedding,8,2,Mountain,Premium,None,4.8,2940.0
Wedding,4,1,Beach,Premium,Instant Prints,3.7,2435.0
Corporate,5,2,City,Premium,Live Streaming,4.5,2625.0
Wedding,4,1,City,Basic,Photo Album,4.6,2530.0
Birthday,7,5,Mountain,Advanced,Photo Album,4.3,2815.0
Concert,7,1,Mountain,Premium,Live Streaming,3.9,3595.0
Engagement,3,4,City,Standard,Instant Prints,4.6,2780.0
Concert,3,4,City,Basic,Drone,3.9,3595.0
Fashion Show,3,1,City,Standard,None,4.9,3245.0
Birthday,4,2,Beach,Standard,None,4.6,1730.0
Engagement,11,5,Rural,Basic,None,3.7,3585.0
Engagement,11,4,City,Advanced,Photo Album,4.0,3600.0
Engagement,2,3,City,Advanced,None,3.5,2275.0
Sports,2,5,City,Basic,Instant Prints,4.0,3350.0
Corporate,9,5,Suburban,Basic,Instant Prints,4.2,3260.0
Anniversary,12,4,City,Premium,Live Streaming,4.9,3945.0
Engagement,10,1,Mountain,Basic,None,4.6,2730.0
Sports,8,5,Rural,Premium,Instant Prints,3.9,3945.0
Corporate,8,3,City,Advanced,None,4.9,2645.0
Fashion Show,12,3,City,Basic,Photo Album,4.2,4710.0
Sports,12,2,Beach,Advanced,None,4.3,3615.0
Anniversary,4,1,Beach,Standard,Photo Album,4.5,2225.0
Wedding,5,2,Mountain,Advanced,Live Streaming,4.1,3105.0
Birthday,9,1,Suburban,Basic,None,4.7,2035.0
Engagement,7,3,City,Standard,None,4.5,2825.0
Birthday,9,2,Rural,Advanced,Drone,4.4,2520.0
Fashion Show,3,1,City,Standard,None,4.0,3200.0
Concert,5,2,City,Premium,None,4.4,3120.0
Sports,8,2,Beach,Advanced,None,3.6,3180.0
Corporate,9,3,Beach,Premium,Drone,4.2,3010.0
Wedding,6,3,City,Premium,Photo Album,4.8,3140.0
Corporate,6,5,Mountain,Premium,None,4.9,2845.0
Corporate,6,5,City,Premium,Photo Album,3.8,2990.0
Anniversary,9,4,City,Premium,Drone,4.2,3410.0
Sports,3,5,Mountain,Premium,Drone,3.8,3590.0
Anniversary,12,5,City,Basic,Live Streaming,4.5,4125.0
Corporate,4,2,Suburban,Premium,Drone,4.0,2300.0
Anniversary,10,3,Beach,Premium,Instant Prints,4.1,3155.0
Birthday,8,5,Mountain,Premium,Drone,3.8,2990.0
Corporate,8,3,Rural,Standard,Drone,3.8,2890.0
Corporate,2,5,Suburban,Standard,None,4.8,2440.0
Anniversary,6,3,Rural,Advanced,Drone,4.3,2915.0
Anniversary,9,2,City,Advanced,Photo Album,4.8,2940.0
Sports,2,4,Suburban,Standard,Live Streaming,4.4,3520.0
Anniversary,10,2,Beach,Premium,Instant Prints,4.6,2980.0
Engagement,12,2,City,Premium,Photo Album,4.2,3310.0
Anniversary,4,1,Suburban,Premium,Drone,4.8,2340.0
Fashion Show,10,3,City,Standard,None,4.8,4340.0
Anniversary,5,3,Suburban,Premium,None,4.6,2530.0
Sports,3,5,Beach,Advanced,Instant Prints,5.0,3500.0
Corporate,11,4,Mountain,Standard,Instant Prints,4.5,3275.0
Engagement,11,2,City,Standard,Instant Prints,3.8,3140.0
Wedding,10,1,City,Standard,Drone,4.6,3230.0
Corporate,3,2,City,Standard,Drone,3.6,2180.0
Corporate,5,4,Mountain,Basic,Instant Prints,3.8,2640.0
Corporate,12,3,Suburban,Standard,Photo Album,4.9,3245.0
Engagement,10,2,Rural,Standard,Instant Prints,4.4,3070.0
Sports,6,3,Suburban,Advanced,Photo Album,4.8,3440.0
Birthday,10,5,City,Basic,Drone,3.8,3190.0
Birthday,6,3,Suburban,Standard,None,4.2,2110.0
Engagement,3,5,Mountain,Premium,Live Streaming,4.3,3315.0
Fashion Show,8,5,Suburban,Advanced,None,5.0,4550.0
Birthday,5,4,City,Premium,Drone,4.7,2535.0
Anniversary,9,4,Rural,Standard,Photo Album,4.4,3320.0
Engagement,2,1,Rural,Standard,Live Streaming,4.3,2415.0
Fashion Show,5,5,Beach,Advanced,Drone,5.0,4550.0
Sports,9,4,Rural,Standard,Photo Album,4.0,3900.0
Engagement,3,4,City,Standard,Live Streaming,3.7,3085.0
Engagement,10,4,Rural,Standard,Live Streaming,4.6,3830.0
Anniversary,9,2,Rural,Standard,None,3.8,2690.0
Wedding,9,5,City,Advanced,Photo Album,4.6,3830.0
Sports,3,2,Mountain,Standard,Drone,4.2,3010.0
Corporate,9,1,City,Basic,None,4.4,2320.0
Wedding,10,3,Rural,Advanced,Live Streaming,4.8,3840.0
Sports,11,2,City,Advanced,Drone,4.1,3805.0
Anniversary,6,3,Suburban,Standard,Live Streaming,4.3,3115.0
Birthday,12,4,City,Standard,Drone,4.9,3245.0
Concert,9,2,Mountain,Standard,Live Streaming,4.8,4040.0
Birthday,10,1,Mountain,Standard,Drone,4.0,2400.0
Birthday,11,1,Mountain,Standard,Photo Album,3.9,2395.0
Engagement,9,3,City,Standard,Drone,3.6,3280.0
Fashion Show,11,2,Suburban,Premium,Live Streaming,3.7,4685.0
Wedding,6,3,Suburban,Standard,Photo Album,4.5,3125.0
Anniversary,8,5,Rural,Standard,Photo Album,4.6,3430.0
Corporate,8,4,Rural,Basic,Live Streaming,4.5,3325.0
Fashion Show,2,3,Suburban,Basic,None,4.3,3515.0
Wedding,2,2,City,Advanced,Photo Album,3.9,2495.0
Corporate,5,4,Rural,Advanced,None,4.6,2530.0
Sports,3,2,City,Advanced,Drone,3.8,2990.0
Wedding,6,1,Mountain,Standard,Photo Album,4.5,2725.0
Fashion Show,11,5,City,Standard,Drone,4.8,5140.0
Engagement,3,4,Suburban,Standard,Instant Prints,4.4,2770.0
Corporate,7,3,Suburban,Advanced,None,4.3,2515.0
Anniversary,9,3,Beach,Premium,Photo Album,3.6,3080.0
Concert,10,5,City,Basic,Instant Prints,4.0,4350.0
Anniversary,9,3,Suburban,Basic,Instant Prints,3.7,3035.0
Sports,7,3,City,Premium,Photo Album,3.8,3490.0
Anniversary,4,2,City,Basic,None,4.0,2200.0
Anniversary,6,3,Beach,Advanced,Photo Album,4.5,2825.0
Anniversary,3,1,Beach,Premium,Live Streaming,4.1,2405.0
Birthday,8,3,Suburban,Advanced,Photo Album,4.9,2545.0
Anniversary,7,3,Rural,Advanced,Live Streaming,4.6,3230.0
Engagement,3,2,Beach,Advanced,Photo Album,4.7,2435.0
Engagement,6,4,Beach,Premium,Live Streaming,5.0,3450.0
Sports,7,3,Mountain,Basic,Instant Prints,3.9,3445.0
Fashion Show,6,2,Beach,Premium,Live Streaming,3.7,4185.0
Engagement,4,3,City,Standard,Drone,3.9,2795.0
Engagement,6,3,Mountain,Premium,Drone,4.8,3040.0
Sports,10,3,Rural,Basic,Photo Album,4.4,3820.0
Engagement,8,1,Mountain,Standard,Photo Album,4.9,2745.0
Wedding,7,4,Rural,Standard,Instant Prints,3.7,3335.0
Corporate,8,5,Beach,Advanced,Drone,5.0,3350.0
Anniversary,9,4,Mountain,Advanced,None,4.9,3145.0
Engagement,7,2,Rural,Premium,Live Streaming,4.3,3115.0
Concert,8,2,Mountain,Basic,Photo Album,3.7,3585.0
Birthday,3,2,Beach,Basic,Live Streaming,3.9,2095.0
Wedding,9,2,Suburban,Basic,None,3.6,2980.0
Corporate,7,1,Mountain,Basic,Photo Album,4.2,2310.0
Concert,8,5,City,Premium,Photo Album,4.0,4200.0
Anniversary,11,4,Suburban,Premium,None,4.3,3315.0
Sports,12,2,Beach,Premium,Instant Prints,3.5,3725.0
Anniversary,2,4,Mountain,Basic,None,4.0,2400.0
Corporate,10,5,Mountain,Advanced,Instant Prints,4.7,3385.0
Engagement,6,2,Mountain,Advanced,Photo Album,4.4,2720.0
Engagement,5,3,City,Basic,Photo Album,4.0,2800.0
Anniversary,7,4,Suburban,Premium,Instant Prints,4.1,3055.0
Concert,3,3,City,Premium,None,3.5,3075.0
Birthday,7,1,Mountain,Standard,Instant Prints,4.8,1990.0
Wedding,12,3,Suburban,Premium,Photo Album,4.6,3730.0
Sports,3,3,Beach,Premium,Drone,4.0,3200.0
Sports,5,1,Suburban,Premium,Photo Album,4.4,2920.0
Birthday,10,4,Rural,Premium,None,4.7,2735.0
Anniversary,12,4,Mountain,Advanced,Instant Prints,3.6,3530.0
Corporate,11,1,Rural,Premium,Live Streaming,3.5,2975.0
Anniversary,7,4,Suburban,Premium,Instant Prints,4.3,3065.0
Sports,2,3,Mountain,Standard,Drone,4.2,3110.0
Corporate,9,5,Suburban,Advanced,Live Streaming,4.2,3610.0
Birthday,8,3,Mountain,Advanced,Photo Album,4.8,2540.0
Engagement,10,3,Suburban,Premium,Drone,4.6,3430.0
Anniversary,4,3,Mountain,Basic,Drone,3.5,2675.0
Sports,3,5,City,Standard,Photo Album,4.4,3520.0
Corporate,11,1,Beach,Premium,Drone,4.0,2800.0
Anniversary,11,5,Mountain,Premium,Drone,3.8,3790.0
Wedding,2,5,Beach,Premium,Instant Prints,4.4,3070.0
Engagement,5,3,Beach,Premium,Photo Album,4.1,2805.0
Anniversary,2,4,Rural,Basic,Drone,3.8,2690.0
Corporate,6,3,Mountain,Basic,Drone,3.7,2685.0
Birthday,11,5,City,Premium,None,4.4,3020.0
Sports,7,2,Rural,Advanced,Drone,3.6,3380.0
Concert,12,5,City,Premium,Photo Album,3.8,4590.0
Sports,3,4,Beach,Basic,Instant Prints,4.2,3260.0
Concert,4,3,Beach,Basic,None,4.2,3210.0
Corporate,4,1,City,Basic,Instant Prints,4.9,1995.0
Birthday,12,1,Rural,Premium,Photo Album,3.7,2485.0
Engagement,10,1,Suburban,Basic,None,4.0,2700.0
Concert,9,1,Suburban,Premium,Photo Album,3.9,3495.0
Birthday,11,2,Rural,Premium,Drone,4.6,2730.0
Fashion Show,2,4,Beach,Advanced,Drone,4.1,4005.0
Anniversary,4,3,Rural,Standard,Photo Album,4.5,2625.0
Engagement,9,1,City,Standard,Photo Album,3.6,2780.0
Concert,12,1,Suburban,Premium,None,3.9,3595.0
Fashion Show,10,2,Suburban,Basic,Live Streaming,4.9,4645.0
Wedding,3,5,Mountain,Advanced,None,4.8,3040.0
Concert,4,3,Suburban,Basic,Instant Prints,5.0,3400.0
Anniversary,6,3,Suburban,Standard,Instant Prints,3.5,2725.0
Wedding,5,2,Mountain,Premium,Drone,4.4,2920.0
Sports,12,2,Rural,Basic,Drone,4.2,3910.0
Concert,4,5,City,Advanced,Drone,4.8,3940.0
Concert,12,3,Mountain,Premium,Photo Album,4.8,4240.0
Wedding,11,1,Mountain,Premium,Instant Prints,4.9,3195.0
Wedding,9,3,City,Advanced,None,4.4,3220.0
Sports,7,3,Rural,Standard,None,4.4,3320.0
Fashion Show,2,5,Suburban,Advanced,Instant Prints,4.9,4095.0
Concert,9,5,Rural,Basic,Photo Album,3.7,4285.0
Fashion Show,4,1,Beach,Standard,Live Streaming,4.7,3835.0
Fashion Show,7,4,Suburban,Standard,Photo Album,3.7,4385.0
Fashion Show,3,2,Beach,Advanced,Live Streaming,4.4,3920.0
Corporate,7,5,Mountain,Premium,Instant Prints,4.9,3095.0
Fashion Show,3,4,Mountain,Advanced,Instant Prints,4.1,3955.0
Engagement,12,1,Beach,Premium,Photo Album,4.6,3130.0
Sports,4,1,City,Standard,Instant Prints,4.9,2795.0
Wedding,2,1,Mountain,Advanced,Live Streaming,4.6,2630.0
Birthday,11,5,Beach,Basic,None,3.7,2985.0
Sports,2,4,Mountain,Premium,None,4.6,3030.0
Sports,12,3,City,Basic,Live Streaming,3.7,4285.0
Wedding,9,4,Beach,Basic,Instant Prints,4.3,3565.0
Sports,3,3,Beach,Premium,Instant Prints,4.8,3090.0
Anniversary,2,4,Mountain,Basic,Instant Prints,4.0,2550.0
Sports,5,1,Suburban,Premium,None,4.9,2745.0
Concert,12,2,City,Premium,Instant Prints,4.1,3955.0
Wedding,4,2,Mountain,Premium,Instant Prints,3.7,2635.0
Sports,4,3,Suburban,Basic,Live Streaming,4.8,3540.0
Birthday,10,5,City,Premium,Photo Album,4.1,3105.0
Fashion Show,8,3,Suburban,Standard,Drone,3.8,4390.0
Fashion Show,3,5,Suburban,Standard,Photo Album,4.6,4230.0
Birthday,3,3,Mountain,Basic,Instant Prints,3.7,1935.0
Sports,5,1,City,Basic,Instant Prints,4.5,2875.0
Engagement,7,3,Suburban,Standard,Photo Album,4.3,3015.0
Sports,10,2,Mountain,Standard,Photo Album,4.2,3610.0
Corporate,9,2,Suburban,Basic,Instant Prints,3.9,2645.0
Engagement,6,4,Suburban,Premium,None,5.0,2950.0
Anniversary,9,2,Suburban,Standard,Instant Prints,3.5,2825.0
Sports,12,4,Mountain,Standard,None,3.8,3990.0
Corporate,7,2,City,Standard,Live Streaming,4.4,2820.0
Wedding,2,5,Rural,Advanced,None,3.7,2885.0
Sports,10,3,Mountain,Advanced,Instant Prints,3.7,3735.0
Engagement,2,2,Beach,Advanced,None,4.9,2145.0
Corporate,4,1,Rural,Advanced,Photo Album,4.1,2005.0
Corporate,11,5,City,Standard,Photo Album,3.9,3495.0
Corporate,3,5,Rural,Basic,None,3.6,2480.0
Concert,6,3,Beach,Standard,Instant Prints,4.4,3570.0
Engagement,6,4,Rural,Advanced,Instant Prints,3.8,3040.0
Wedding,5,1,Beach,Premium,Live Streaming,4.5,2925.0
Anniversary,10,3,Suburban,Standard,Instant Prints,4.2,3160.0
Concert,12,1,Suburban,Premium,Live Streaming,4.9,4145.0
Engagement,6,1,City,Standard,Instant Prints,4.2,2460.0
Birthday,2,4,Beach,Advanced,Instant Prints,3.7,2035.0
Engagement,10,5,Mountain,Premium,Drone,4.6,3830.0
Fashion Show,8,3,Mountain,Standard,Drone,4.9,4445.0
Corporate,10,1,Mountain,Standard,Instant Prints,4.0,2550.0
Anniversary,3,3,City,Advanced,Instant Prints,4.7,2485.0
Anniversary,8,5,Mountain,Basic,Drone,4.8,3540.0
Corporate,7,5,Rural,Standard,Instant Prints,4.5,3075.0
Concert,6,3,Mountain,Advanced,Photo Album,4.8,3640.0
Engagement,2,2,City,Standard,None,3.9,2095.0
Wedding,9,3,Mountain,Advanced,Instant Prints,3.8,3340.0
Anniversary,10,5,City,Premium,Instant Prints,4.2,3560.0
Concert,3,1,City,Premium,Live Streaming,4.8,3240.0
Corporate,7,2,Mountain,Advanced,Drone,3.6,2580.0
Corporate,10,5,Beach,Standard,Photo Album,4.0,3400.0
Fashion Show,10,2,City,Standard,None,4.7,4135.0
Corporate,2,5,Beach,Basic,None,5.0,2450.0
Wedding,5,3,City,Premium,None,4.7,2835.0
Fashion Show,12,2,Rural,Basic,Instant Prints,3.6,4430.0
Concert,2,5,Beach,Standard,Drone,4.5,3725.0
Concert,3,4,Beach,Basic,None,3.7,3285.0
Engagement,11,3,Suburban,Standard,Instant Prints,4.9,3395.0
Concert,9,5,Rural,Standard,Live Streaming,3.9,4595.0
Concert,12,3,Mountain,Standard,None,3.9,3995.0
Concert,5,2,Mountain,Premium,Instant Prints,3.8,3240.0
Corporate,12,1,Suburban,Advanced,Instant Prints,4.5,2775.0
Corporate,4,3,Beach,Premium,Instant Prints,3.8,2340.0
Corporate,5,5,Beach,Advanced,Instant Prints,4.9,2895.0
Birthday,3,3,City,Advanced,None,4.7,1835.0
Anniversary,11,2,Beach,Standard,Live Streaming,3.8,3390.0
Birthday,3,5,Mountain,Basic,Instant Prints,3.7,2335.0
Sports,9,1,Suburban,Standard,Drone,3.5,3375.0
Anniversary,5,4,City,Basic,Instant Prints,5.0,2900.0
Wedding,11,3,City,Standard,None,4.5,3425.0
Sports,11,5,Suburban,Standard,None,5.0,4150.0
Anniversary,2,1,Suburban,Standard,Photo Album,4.0,2000.0
Birthday,6,4,Suburban,Standard,Live Streaming,3.6,2780.0
Corporate,6,2,Suburban,Premium,Instant Prints,4.8,2390.0
Engagement,6,5,Rural,Premium,None,4.4,3120.0
Concert,2,2,Beach,Premium,None,3.8,2790.0
Sports,4,2,Mountain,Premium,Live Streaming,4.5,3325.0
Wedding,12,2,City,Premium,Live Streaming,4.2,3810.0
Sports,6,2,Mountain,Basic,Live Streaming,3.8,3490.0
Anniversary,3,2,Beach,Basic,Instant Prints,4.4,2270.0
Fashion Show,7,5,Beach,Premium,Instant Prints,4.4,4570.0
Engagement,7,4,Mountain,Basic,Photo Album,3.7,3185.0
Birthday,9,5,City,Advanced,Photo Album,3.5,2975.0
Wedding,4,1,City,Premium,None,4.7,2335.0
Sports,7,3,Beach,Standard,Live Streaming,3.5,3775.0
Concert,8,3,Mountain,Premium,Live Streaming,3.9,4095.0
Sports,9,4,Beach,Standard,Photo Album,4.8,3940.0
Engagement,10,5,City,Premium,Live Streaming,4.2,4010.0
Anniversary,12,5,Beach,Basic,Photo Album,3.6,3780.0
Concert,9,3,Suburban,Premium,Photo Album,4.7,3935.0
Concert,5,1,Beach,Advanced,None,3.5,2875.0
Engagement,11,3,Suburban,Standard,Photo Album,4.8,3440.0
Fashion Show,6,4,Mountain,Basic,Drone,3.8,4390.0
Anniversary,8,1,City,Basic,Instant Prints,4.3,2565.0
Wedding,10,4,Suburban,Advanced,Photo Album,3.5,3675.0
Fashion Show,11,5,Rural,Basic,None,4.0,4800.0
Fashion Show,11,4,Beach,Advanced,Drone,3.7,4885.0
Engagement,2,2,Mountain,Advanced,None,3.9,2095.0
Sports,6,2,Rural,Basic,None,4.1,3005.0
Wedding,8,1,City,Advanced,Live Streaming,3.7,3185.0
Engagement,12,5,Mountain,Premium,None,4.1,3705.0
Fashion Show,7,2,Mountain,Premium,Photo Album,4.8,4040.0
Concert,5,4,Rural,Premium,Drone,4.0,3800.0
Wedding,5,2,City,Basic,Photo Album,4.6,2830.0
Birthday,2,1,Beach,Premium,Instant Prints,4.9,1495.0
Anniversary,3,3,Mountain,Standard,Instant Prints,4.1,2455.0
Wedding,6,2,Rural,Basic,Live Streaming,4.8,3240.0
Birthday,6,1,Beach,Basic,None,3.7,1685.0
Sports,5,3,City,Premium,Live Streaming,3.6,3580.0
Anniversary,6,5,Suburban,Basic,Live Streaming,4.4,3520.0
Fashion Show,2,3,Rural,Advanced,Photo Album,4.3,3715.0
Corporate,5,4,Beach,Standard,None,4.1,2505.0
Corporate,11,3,Beach,Standard,Drone,4.1,3205.0
Anniversary,4,1,City,Standard,None,4.7,2035.0
Anniversary,9,2,Mountain,Advanced,Live Streaming,4.6,3230.0
Sports,12,2,Beach,Basic,Drone,3.6,3880.0
Birthday,10,4,Rural,Advanced,Instant Prints,4.0,2850.0
Engagement,3,4,Rural,Standard,Instant Prints,4.6,2780.0
Fashion Show,12,2,City,Basic,Photo Album,4.9,4545.0
Concert,8,5,City,Standard,Photo Album,4.3,4215.0
Wedding,5,2,Beach,Standard,None,3.9,2595.0
Concert,7,2,Suburban,Premium,Drone,4.0,3600.0
Engagement,5,2,Suburban,Standard,Photo Album,4.3,2615.0
Wedding,8,2,Mountain,Premium,None,4.6,2930.0
Birthday,3,3,Rural,Standard,Drone,4.0,2100.0
Corporate,8,2,Suburban,Basic,Instant Prints,3.7,2535.0
Concert,11,5,Mountain,Basic,None,5.0,4350.0
Anniversary,2,4,Rural,Standard,Instant Prints,4.0,2550.0
Engagement,6,2,City,Premium,Live Streaming,4.0,3000.0
Concert,2,4,City,Advanced,Photo Album,4.5,3425.0
Sports,8,1,City,Basic,Live Streaming,5.0,3550.0
Birthday,2,4,City,Standard,Drone,4.0,2200.0
Corporate,12,1,Mountain,Advanced,Drone,4.8,2940.0
Engagement,3,1,Rural,Advanced,Live Streaming,4.2,2510.0
Fashion Show,6,5,Suburban,Standard,None,4.4,4320.0
Wedding,11,3,Suburban,Standard,Drone,3.6,3680.0
Wedding,9,1,Mountain,Basic,Live Streaming,3.7,3285.0
Anniversary,7,3,City,Standard,Drone,4.6,3030.0
Wedding,7,1,Beach,Premium,Drone,4.9,2945.0
Concert,12,3,Mountain,Premium,Live Streaming,4.8,4540.0
Birthday,5,4,Rural,Standard,Instant Prints,4.5,2375.0
Fashion Show,10,3,Mountain,Premium,Photo Album,4.4,4520.0
